input_window,mean_macro_f1,clf__batch_size,clf__dropout,clf__learning_rate,clf__neurons,clf__num_layers
4,0.3424303194889193,64,0.0,0.009062263471261952,16,2
4,0.3166155009491774,16,0.2,0.007098936257405904,32,1
12,0.31507053696038917,64,0.0,0.009062263471261952,16,2
4,0.3115525778393002,16,0.2,0.0048812550121497085,128,2
8,0.3031670362587323,64,0.0,0.009062263471261952,16,2
4,0.30266190679392285,32,0.0,0.001105851072569646,16,3
12,0.3007281115539839,16,0.2,0.0048812550121497085,128,2
12,0.29375632727267154,16,0.2,0.007098936257405904,32,1
4,0.2919685109096205,64,0.0,0.0013704648392849023,16,1
4,0.29042016155065165,16,0.0,0.0005846326121643416,64,3
8,0.2867715886634472,16,0.2,0.0048812550121497085,128,2
12,0.2866960259359775,16,0.0,0.0005846326121643416,64,3
4,0.2832868376378436,32,0.0,0.00010975815419380165,128,2
4,0.2809472982432522,32,0.4,0.002762264801799499,32,2
12,0.27928915376975155,32,0.4,0.0007501954443620128,64,1
8,0.27822769698906935,16,0.0,0.0005846326121643416,64,3
4,0.27560452532412766,32,0.4,0.0007501954443620128,64,1
12,0.2710392867360145,64,0.0,0.0013704648392849023,16,1
12,0.2693431441490471,32,0.4,0.002762264801799499,32,2
8,0.26353744810081237,16,0.2,0.007098936257405904,32,1
12,0.25888988704068067,32,0.2,0.0016756813861488488,16,2
8,0.25885689796683065,32,0.0,0.001105851072569646,16,3
4,0.25875902552948465,32,0.2,0.0016756813861488488,16,2
8,0.25297968118490793,32,0.4,0.002762264801799499,32,2
12,0.25197616632101355,32,0.0,0.00010975815419380165,128,2
8,0.2469967851045379,32,0.2,0.0016756813861488488,16,2
12,0.24419935565900067,32,0.0,0.001105851072569646,16,3
8,0.2428256079107953,32,0.4,0.0007501954443620128,64,1
8,0.23998658770510195,64,0.0,0.0013704648392849023,16,1
8,0.23699680691395222,32,0.0,0.00010975815419380165,128,2
